"data";"valor"
"26/01/2016";"0,052531"
"27/01/2016";"0,052531"
"28/01/2016";"0,052531"
"29/01/2016";"0,052531"
"01/02/2016";"0,052531"
"02/02/2016";"0,052531"
"03/02/2016";"0,052531"
"04/02/2016";"0,052531"
"05/02/2016";"0,052531"
"10/02/2016";"0,052531"
"11/02/2016";"0,052531"
"12/02/2016";"0,052531"
"15/02/2016";"0,052531"
"16/02/2016";"0,052531"
"17/02/2016";"0,052531"
"18/02/2016";"0,052531"
"19/02/2016";"0,052531"
"22/02/2016";"0,052531"
"23/02/2016";"0,052531"
"24/02/2016";"0,052531"
"25/02/2016";"0,052531"
"26/02/2016";"0,052531"
"29/02/2016";"0,052531"
"01/03/2016";"0,052531"
"02/03/2016";"0,052531"
"03/03/2016";"0,052531"
"04/03/2016";"0,052531"
"07/03/2016";"0,052531"
"08/03/2016";"0,052531"
"09/03/2016";"0,052531"
"10/03/2016";"0,052531"
"11/03/2016";"0,052531"
"14/03/2016";"0,052531"
"15/03/2016";"0,052531"
"16/03/2016";"0,052531"
"17/03/2016";"0,052531"
"18/03/2016";"0,052531"
"21/03/2016";"0,052531"
"22/03/2016";"0,052531"
"23/03/2016";"0,052531"
"24/03/2016";"0,052531"
"28/03/2016";"0,052531"
"29/03/2016";"0,052531"
"30/03/2016";"0,052531"
"31/03/2016";"0,052531"
"01/04/2016";"0,052531"
"04/04/2016";"0,052531"
"05/04/2016";"0,052531"
"06/04/2016";"0,052531"
"07/04/2016";"0,052531"
"08/04/2016";"0,052531"
"11/04/2016";"0,052531"
"12/04/2016";"0,052531"
"13/04/2016";"0,052531"
"14/04/2016";"0,052531"
"15/04/2016";"0,052531"
"18/04/2016";"0,052531"
"19/04/2016";"0,052531"
"20/04/2016";"0,052531"
"22/04/2016";"0,052531"
"25/04/2016";"0,052531"
"26/04/2016";"0,052531"
"27/04/2016";"0,052531"
"28/04/2016";"0,052531"
"29/04/2016";"0,052531"
"02/05/2016";"0,052531"
"03/05/2016";"0,052531"
"04/05/2016";"0,052531"
"05/05/2016";"0,052531"
"06/05/2016";"0,052531"
"09/05/2016";"0,052531"
"10/05/2016";"0,052531"
"11/05/2016";"0,052531"
"12/05/2016";"0,052531"
"13/05/2016";"0,052531"
